Gene	strand	SwitchScore	Tissue1	Tissue1Inc	Tissue2	Tissue2Inc	GeneDescription	chr	start	end	Event_hg18
KIAA1582,TNRC6C	+	0.3	cerebellum	0.7	testes	1.00	trinucleotide repeat containing 6C,trinucleotide repe	chr17	78097744	78097861	chr17:73605421-73605537:+
SYNGR2	+	0.36	MB435	1	lymphNode	0.64	synaptogyrin 2,Homo sapiens mRNA for synaptogyri	chr17	78171509	78171649	chr17:73679186-73679325:+
DKFZp762M186,PG	+	0.32	MCF7	1	adipose	0.68	phosphatidylglycerophosphate synthase 1,Hypothet	chr17	78414878	78415027	chr17:73922555-73922703:+
TNFSF12-TNFSF13	+	0.34	lymphNode	0.53	testes	0.19	tumor necrosis factor ligand superfamily, member,tu	chr17	7553586	7553825	chr17:7397628-7397866:+
CTRP1,C1QTNF1	+	1	MB435	1	adipose	0.00	C1q and tumor necrosis factor related protein 1,C1q	chr17	79034316	79034533	chr17:74541994-74542210:+
AK128131	-	0.53	brain	1	colon	0.47	Homo sapiens cDNA FLJ42653 fis, clone BRACE30	chr17	79103161	79103254	chr17:74610839-74610931:-
SSAT2	-	0.45	cerebellum	1	adipose	0.55	Homo sapiens polyamine N-acetyltransferase (SSAT	chr17	7626942	7627044	chr17:7470986-7471087:-
GAA	+	0.61	T47D	1	lymphNode	0.39	acid alpha-glucosidase preproprotein,acid alpha-gluc	chr17	80101810	80101890	chr17:75690205-75690284:+
GAA	+	0.46	T47D	1	skelMuscle	0.54	acid alpha-glucosidase preproprotein,acid alpha-gluc	chr17	80101810	80101925	chr17:75690205-75690319:+
BAIAP2	+	0.6	MB435	0.03	liver	0.63	BAI1-associated protein 2 isoform 1,Homo sapiens m	chr17	81110913	81110955	chr17:76699309-76699350:+
BAIAP2	+	0.79	BT474	0.9	MB435	0.10	BAI1-associated protein 2 isoform 1,Homo sapiens m	chr17	81110913	81110959	chr17:76699309-76699354:+
AZI1,KIAA1118	-	0.31	cerebellum	1	MB435	0.69	5-azacytidine induced 1 isoform a,5-azacytidine indu	chr17	81192735	81192843	chr17:76781131-76781238:-
ANAPC11	+	0.42	BT474	0.45	skelMuscle	0.88	APC11 anaphase promoting complex subunit 11,AP	chr17	81893551	81893614	chr17:77444724-77444786:+
PCYT2	-	0.26	cerebellum	0.74	breast	1.00	phosphate cytidylyltransferase 2, ethanolamine,Hom	chr17	81905381	81905447	chr17:77456550-77456615:-
PCYT2	-	0.83	BT474	0.89	testes	0.06	phosphate cytidylyltransferase 2, ethanolamine,Hom	chr17	81907203	81907257	chr17:77458372-77458425:-
PCYT2	-	0.29	cerebellum	1	colon	0.71	phosphate cytidylyltransferase 2, ethanolamine,Hom	chr17	81908875	81909321	chr17:77460044-77460489:-
CHD3	+	0.3	breast	1	MCF7	0.70	chromodomain helicase DNA binding protein 3,CHD	chr17	7907600	7907702	chr17:7751644-7751745:+
ASPSCR1	+	0.65	lymphNode	0.69	testes	0.04	alveolar soft part sarcoma 	chromosome region,,alve	chr17	82015074	82015356	chr17:77566240-77566521:+
STRA13	-	0.61	HME	0.7	lymphNode	0.09	stimulated by retinoic acid 13,Homo sapiens stimulat	chr17	82019640	82019694	chr17:77570806-77570859:-
LRRC45	+	0.31	cerebellum	1	MB435	0.70	leucine rich repeat containing 45	chr17	82029542	82029635	chr17:77580708-77580800:+
GPS1	+	0.28	HME	0.03	testes	0.30	G protein pathway suppressor 1 isoform 2,G protein	chr17	82052255	82052442	chr17:77603421-77603607:+
CSNK1D,BC047000	-	0.46	MCF7	1	lymphNode	0.54	casein kinase 1, delta isoform 2,casein kinase 1, delt	chr17	82245975	82246039	chr17:77797141-77797204:-
FLJ22222	-	0.36	HME	0.11	lymphNode	0.47	hypothetical protein LOC79701 isoform 2	chr17	82394330	82394543	chr17:77945496-77945708:-
HEXDC	+	0.33	cerebellum	0.67	lymphNode	1.00	hexosaminidase (glycosyl hydrolase family 20,,CDN	chr17	82440472	82440613	chr17:77991638-77991778:+
C17orf62,PP3439	-	0.25	T47D	1	lymphNode	0.75	hypothetical protein LOC79415,hypothetical protein	chr17	82446622	82446696	chr17:77997788-77997861:-
C17orf62,PP3439	-	0.3	colon	0.14	lymphNode	0.43	hypothetical protein LOC79415,hypothetical protein	chr17	82449430	82449480	chr17:78000596-78000645:-
C17orf68	-	0.25	cerebellum	0.75	MCF7	1.00	hypothetical protein LOC80169	chr17	8242984	8243148	chr17:8087028-8087191:-
AK095179	+	0.36	colon	0.39	lymphNode	0.03	Homo sapiens cDNA FLJ37860 fis, clone BRSSN20	chr17	8463319	8463354	chr17:8307363-8307397:+
APCDD1	+	0.26	breast	1	testes	0.74	adenomatosis polyposis coli down-regulated 1	chr18	10468468	10468652	chr18:10458466-10458649:+
MPPE1	-	0.38	cerebellum	0.58	skelMuscle	0.20	metallophosphoesterase 1 precursor,metallophosph	chr18	11884878	11885043	chr18:11874878-11875042:-
SEH1L	+	0.3	BT474	1	testes	0.70	sec13-like protein isoform 1,sec13-like protein isofor	chr18	12955462	12955609	chr18:12945462-12945608:+
C18orf1	+	0.33	brain	0.87	testes	0.55	hypothetical protein LOC753 isoform gamma 1,hypo	chr18	13643358	13643412	chr18:13633358-13633411:+
OSBPL1A	-	0.39	breast	1	MB435	0.61	oxysterol-binding protein-like 1A isoform B,oxysterol-	chr18	24178012	24178195	chr18:20011975-20012157:-
ZNF397	+	0.73	cerebellum	1	testes	0.28	Zinc finger protein 397 (Zinc finger and SCAN doma	chr18	35242390	35242884	chr18:31076353-31076846:+
ZNF271	+	0.64	breast	0.19	brain	0.83	zinc finger protein 271,zinc finger protein 271,zinc fi	chr18	35291009	35291232	chr18:31124972-31125194:+
MYOM1	-	1	skelMuscle	0	testes	1.00	myomesin 1	chr18	3129231	3129519	chr18:3119230-3119517:-
P15RS	-	0.3	cerebellum	1	skelMuscle	0.70	hypothetical protein FLJ10656,P15RS protein.,hypo	chr18	36033707	36033837	chr18:31867669-31867798:-
SLC39A6	-	0.25	cerebellum	0.75	breast	1.00	solute carrier family 39 (zinc transporter),,solute carr	chr18	36126218	36127016	chr18:31960180-31960977:-
AX747133,BRUNOL	-	0.36	cerebellum	0.51	brain	0.87	bruno-like 4, RNA binding protein,bruno-like 4, RNA	chr18	37259180	37259264	chr18:33093142-33093225:-
MBD1	-	0.51	cerebellum	1	BT474	0.49	methyl-CpG binding domain protein 1 isoform 3,meth	chr18	50273333	50273471	chr18:46053702-46053839:-
MBD1	-	0.73	HME	1	MB435	0.27	methyl-CpG binding domain protein 1 isoform 3,meth	chr18	50274185	50274350	chr18:46054554-46054718:-
MBD1	-	0.56	adipose	0	testes	0.56	NA	chr18	50275369	50275444	chr18:46055738-46055812:-
MRO	-	0.42	brain	0.58	testes	1.00	maestro,maestro,	chr18	50801348	50801504	chr18:46581717-46581872:-
EPB41L3,KIAA0987	-	0.69	adipose	0.31	colon	1.00	erythrocyte membrane protein band 4.1-like 3,erythr	chr18	5394676	5394793	chr18:5384676-5384792:-
EPB41L3,KIAA0987	-	0.91	cerebellum	0.93	adipose	0.02	erythrocyte membrane protein band 4.1-like 3,erythr	chr18	5398020	5398143	chr18:5388020-5388142:-
n/a	-	0.28	cerebellum	1	T47D	0.72	n/a	chr18	79919183	79919400	chr18:75780172-75780388:-
ATG4D	+	0.5	cerebellum	0.5	breast	1.00	APG4 autophagy 4 homolog D	chr19	10546838	10547115	chr19:10518515-10518791:+
FLJ12949	-	0.44	cerebellum	1	colon	0.56	hypothetical protein LOC65095 isoform 1,hypothetic	chr19	10564928	10565790	chr19:10536605-10537466:-
SLC44A2,DKFZp66	+	0.62	BT474	0.01	skelMuscle	0.63	NA	chr19	10642896	10643021	chr19:10614573-10614697:+
ILF3	+	0.26	adipose	0.35	lymphNode	0.09	interleukin enhancer binding factor 3 isoform a,interl	chr19	10684415	10684476	chr19:10656092-10656152:+
CARM1	+	0.88	cerebellum	1	MB435	0.12	coactivator-associated arginine,coactivator-associat	chr19	10921374	10921443	chr19:10893051-10893119:+
YIPF2	-	0.36	BT474	0.64	HME	1.00	Yip1 domain family, member 2,Yip1 domain family,	chr19	10927629	10927716	chr19:10899306-10899392:-
ECSIT	-	0.39	cerebellum	0.61	MCF7	1.00	evolutionarily conserved signaling intermediate,Hom	chr19	11519074	11519193	chr19:11490890-11491008:-
n/a	+	0.94	BT474	1	colon	0.06	n/a	chr19	1273493	1273715	chr19:1224493-1224714:+
RAD23A	+	0.42	cerebellum	0.58	HME	1.00	UV excision repair protein RAD23 homolog A,UV ex	chr19	12948496	12948556	chr19:12920311-12920370:+
NFIX	+	0.69	brain	0.95	skelMuscle	0.26	Nuclear factor 1 X-type (Nuclear factor 1/X) (NF1-X)	chr19	13078612	13078735	chr19:13050427-13050549:+
TRMT1	-	0.31	breast	1	testes	0.69	TRM1 tRNA methyltransferase 1,TRM1 tRNA methy	chr19	13109914	13110001	chr19:13081729-13081815:-
MGC3207	+	0.29	MCF7	0.71	lymphNode	1.00	hypothetical protein LOC84245 isoform 2	chr19	13765953	13766065	chr19:13737768-13737879:+
MGC3207	+	0.31	breast	1	MCF7	0.69	hypothetical protein LOC84245 isoform 2	chr19	13765953	13766129	chr19:13737768-13737943:+
DAZAP1	+	0.49	cerebellum	0.51	brain	1.00	DAZ associated protein 1 isoform b,DAZ associated	chr19	1425877	1425960	chr19:1376877-1376959:+
KIN27,PRKACA	-	0.31	cerebellum	1	MB435	0.69	cAMP-dependent protein kinase catalytic subunit,Pr	chr19	14093627	14093792	chr19:14065440-14065604:-
LPHN1	-	0.27	cerebellum	1	MB435	0.73	latrophilin 1 isoform 1 precursor,latrophilin 1 isoform	chr19	14160592	14160696	chr19:14132405-14132508:-
GIPC1	-	0.39	cerebellum	1	testes	0.61	regulator of G-protein signalling 19 interacting,regula	chr19	14482688	14483006	chr19:14454501-14454818:-
GIPC1	-	0.63	cerebellum	0.3	heart	0.92	regulator of G-protein signalling 19 interacting,regula	chr19	14492856	14492912	chr19:14464669-14464724:-
AKAP8L,HRIHFB20	-	0.67	cerebellum	0.67	skelMuscle	0.01	A kinase (PRKA) anchor protein 8-like,Homo sapien	chr19	15398629	15398766	chr19:15370441-15370577:-
DKFZp547M136	-	0.46	cerebellum	1	lymphNode	0.54	CDNA FLJ16504 fis, clone FEBRA2014122, highly s	chr19	15428109	15428508	chr19:15399921-15400319:-
TCF3	-	0.69	breast	1	adipose	0.31	TCF3 protein.,TCF3 protein.,Homo sapiens cDNA: F	chr19	1612206	1612433	chr19:1563206-1563432:-
TCF3	-	0.82	breast	1	colon	0.18	TCF3 protein.,TCF3 protein.,Homo sapiens cDNA: F	chr19	1615284	1615520	chr19:1566284-1566519:-
FAM32A	+	0.26	cerebellum	1	lymphNode	0.74	hypothetical protein LOC26017	chr19	16190519	16190577	chr19:16162331-16162388:+
eps15R,EPS15L1	-	0.5	cerebellum	1	T47D	0.50	epidermal growth factor receptor pathway,epidermal	chr19	16361778	16361984	chr19:16333590-16333795:-
n/a	-	0.37	colon	0.55	liver	0.92	n/a	chr19	16654034	16654125	chr19:16625846-16625936:-
HSPC142	+	0.33	cerebellum	1	BT474	0.67	hypothetical protein LOC29086,hypothetical protein	chr19	17273903	17274024	chr19:17245713-17245833:+
RAB3A	-	0.26	cerebellum	1	heart	0.74	RAB3A, member RAS oncogene family	chr19	18202512	18202740	chr19:18174323-18174550:-
PGPEP1	+	0.61	breast	1	lymphNode	0.39	Homo sapiens mRNA for putative pyroglutamyl-pepti	chr19	18357382	18357615	chr19:18329193-18329425:+
LOC113179	+	0.95	HME	1	brain	0.05	CDNA FLJ34737 fis, clone MESAN2008415, modera	chr19	1911889	1913447	chr19:1862889-1864446:+
SFRS14	-	0.97	MCF7	1	testes	0.03	splicing factor, arginine/serine-rich 14,splicing factor,	chr19	18991339	18991553	chr19:18963149-18963362:-
SFRS14	-	0.93	cerebellum	0.07	MCF7	1.00	splicing factor, arginine/serine-rich 14,splicing factor	chr19	18993647	18993740	chr19:18965457-18965549:-
RFXANK	+	0.51	MB435	0.5	adipose	1.00	regulatory factor X-associated,regulatory factor X-as	chr19	19197185	19197251	chr19:19168995-19169060:+
TRA16	-	0.33	adipose	0.67	colon	1.00	TR4 orphan receptor associated protein TRA16,Ho	chr19	19202469	19202575	chr19:19174279-19174384:-
AP3D1	-	0.29	cerebellum	1	heart	0.71	adaptor-related protein complex 3, delta 1,adaptor-r	chr19	2112859	2113413	chr19:2063859-2064412:-
SGTA	-	0.25	cerebellum	1	breast	0.75	small glutamine-rich tetratricopeptide	chr19	2767579	2767686	chr19:2718578-2718684:-
NFIC	+	0.51	T47D	0.8	testes	0.29	NA	chr19	3453762	3453916	chr19:3404761-3404914:+
DKFZp762D096,C1	-	0.26	breast	1	lymphNode	0.74	hypothetical protein LOC83636 isoform 1,hypothetic	chr19	29708253	29708423	chr19:34891001-34891170:-
C19orf28	-	0.76	cerebellum	1	MB435	0.24	hypothetical protein LOC126321 isoform a,hypotheti	chr19	3542775	3542977	chr19:3493774-3493975:-
PIP5K1C	-	0.88	cerebellum	0.97	lymphNode	0.09	phosphatidylinositol-4-phosphate 5-kinase, type	chr19	3633436	3633520	chr19:3584435-3584518:-
hasc-1,SLC7A10	-	0.27	adipose	0.73	testes	1.00	solute carrier family 7, member 10,CDNA FLJ20839	chr19	33215768	33215973	chr19:38398515-38398719:-
LSM14A	+	0.42	brain	0.58	lymphNode	0.16	LSM14 homolog A,LSM14 homolog A,LSM14 homol	chr19	34226407	34226464	chr19:39409153-39409209:+
SAE2	+	0.42	MCF7	1	skelMuscle	0.58	SUMO-1 activating enzyme subunit 2,SUMO-1 activ	chr19	34430575	34430659	chr19:39613321-39613404:+
n/a	+	0.45	HME	0.1	testes	0.55	LISCH protein isoform 1,LISCH protein isoform 3,LIS	chr19	35262545	35262692	chr19:40445289-40445435:+
USF2	+	0.3	heart	0.7	skelMuscle	1.00	upstream stimulatory factor 2 isoform 1,upstream st	chr19	35269802	35270003	chr19:40452546-40452746:+
DMKN,UNQ729	-	0.55	HME	0.76	adipose	0.20	dermokine isoform beta,dermokine isoform beta,der	chr19	35497646	35497681	chr19:40680389-40680423:-
U2AF1L4	-	0.44	cerebellum	0.75	testes	0.30	U2 small nuclear RNA auxiliary factor 1-like 4,Homo	chr19	35744625	35744738	chr19:40927367-40927479:-
C19orf46	-	0.31	colon	0.69	lymphNode	1.00	hypothetical protein LOC163183,Homo sapiens cDN	chr19	36013343	36013422	chr19:41196086-41196164:-
SIRT6	-	0.5	T47D	1	skelMuscle	0.51	sirtuin 6,Mono-ADP-ribosyltransferase sirtuin-6 (EC	chr19	4180781	4180909	chr19:4131779-4131906:-
PAK4	+	0.5	breast	1	adipose	0.50	p21-activated kinase 4 isoform 1,Serine/threonine-pr	chr19	39168229	39168302	chr19:44350710-44350782:+
PAK4	+	0.49	BT474	0.93	adipose	0.45	p21-activated kinase 4 isoform 1,Serine/threonine-pr	chr19	39168229	39168312	chr19:44350710-44350792:+
GMFG	-	0.27	colon	1	lymphNode	0.73	glia maturation factor, gamma,glia maturation factor	chr19	39335260	39335310	chr19:44517741-44517790:-
SAMD4B	+	0.8	lymphNode	0.04	testes	0.85	sterile alpha motif domain containing 4B,sterile alph	chr19	39354005	39354066	chr19:44536486-44536546:+
SUPT5H	+	0.73	cerebellum	0.02	testes	0.75	suppressor of Ty 5 homolog,suppressor of Ty 5 hom	chr19	39458290	39458305	chr19:44640771-44640785:+
SUPT5H	+	0.88	cerebellum	0.12	T47D	1.00	suppressor of Ty 5 homolog,suppressor of Ty 5 hom	chr19	39458293	39458305	chr19:44640774-44640785:+
AKT2	-	0.28	breast	1	HME	0.72	v-akt murine thymoma viral oncogene homolog 2	chr19	40236256	40236385	chr19:45434004-45434132:-
AKT2	-	0.78	cerebellum	1	colon	0.22	v-akt murine thymoma viral oncogene homolog 2	chr19	40265221	40265351	chr19:45462969-45463098:-
PLD3	+	0.43	HME	0.83	colon	0.40	phospholipase D3 isoform 2,phospholipase D3 isofo	chr19	40365552	40365585	chr19:45563300-45563332:+
PLD3	+	0.26	BT474	1	lymphNode	0.74	phospholipase D3 isoform 2,phospholipase D3 isofo	chr19	40365661	40365930	chr19:45563409-45563677:+
PLD3	+	0.36	cerebellum	0.64	MB435	1.00	phospholipase D3 isoform 2,phospholipase D3 isofo	chr19	40365856	40365930	chr19:45563604-45563677:+
LTBP4	+	0.71	breast	1	MB435	0.29	NA	chr19	40611151	40611394	chr19:45808898-45809140:+
LTBP4	+	0.31	MCF7	1	adipose	0.69	latent transforming growth factor beta binding,latent	chr19	40616888	40617020	chr19:45814635-45814766:+
LTBP4	+	0.59	HME	1	colon	0.41	latent transforming growth factor beta binding,latent t	chr19	40616888	40617042	chr19:45814635-45814788:+
RAB4B	+	0.26	BT474	1	skelMuscle	0.74	ras-related GTP-binding protein 4b,Homo sapiens r	chr19	40783777	40783840	chr19:45981523-45981585:+
FLJ10241	-	0.73	HME	1	lymphNode	0.27	hypothetical protein LOC55101,hypothetical protein	chr19	41433271	41433434	chr19:46631017-46631179:-
FLJ10241	-	0.37	MCF7	0.63	MB435	1.00	hypothetical protein LOC55101,hypothetical protein	chr19	41436377	41436472	chr19:46634123-46634217:-
FLJ10241	-	0.32	breast	1	MCF7	0.68	hypothetical protein LOC55101,hypothetical protein	chr19	41436391	41436472	chr19:46634137-46634217:-
FLJ00369,ARHGEF	+	0.25	cerebellum	1	testes	0.75	Rho guanine nucleotide exchange factor 1 isoform,H	chr19	41906456	41906620	chr19:47102449-47102612:+
DEDD2	-	0.29	cerebellum	1	adipose	0.71	death effector domain-containing DNA binding,Hom	chr19	42216679	42217045	chr19:47412672-47413037:-
MEGF8	+	0.46	BT474	0.54	T47D	1.00	Homo sapiens mRNA for MEGF8, partial cds.,MEGF	chr19	42371349	42371482	chr19:47567342-47567474:+
CEACAM1	-	0.76	liver	0.18	lymphNode	0.94	carcinoembryonic antigen-related cell adhesion,carci	chr19	42511575	42511628	chr19:47707568-47707620:-
ETHE1	-	0.25	cerebellum	1	breast	0.75	ETHE1 protein	chr19	43526514	43526659	chr19:48722507-48722651:-
APOC1	+	0.34	breast	0.55	lymphNode	0.89	NA	chr19	44916189	44916470	chr19:50111287-50111567:+
GEMIN7	+	0.57	cerebellum	0.21	HME	0.78	NA	chr19	45079906	45080029	chr19:50275005-50275127:+
TRAPPC6A	-	0.4	MCF7	0.6	HME	1.00	trafficking protein particle complex 6A,Trafficking pr	chr19	45165126	45165194	chr19:50360225-50360292:-
MARK4,MARKL1	+	0.97	cerebellum	1	testes	0.03	MAP/microtubule affinity-regulating kinase 4 (EC 2.7	chr19	45298142	45298222	chr19:50493241-50493320:+
ERCC1	-	0.33	BT474	1	testes	0.67	excision repair cross-complementing 1 isofrom 2,Ho	chr19	45413962	45414034	chr19:50609061-50609132:-
RTN2	-	0.55	MB435	0.45	T47D	1.00	reticulon 2 isoform B,reticulon 2 isoform D,	chr19	45493159	45493378	chr19:50688258-50688476:-
EML2,DKFZp564P0	-	0.28	cerebellum	1	MCF7	0.72	echinoderm microtubule associated protein like,Hom	chr19	45626704	45626839	chr19:50821803-50821937:-
SIX5	-	0.78	BT474	1	skelMuscle	0.22	sine oculis homeobox homolog 5,Homo sapiens cDN	chr19	45766349	45767155	chr19:50961448-50962253:-
DMWD	-	0.57	adipose	0.35	testes	0.92	NA	chr19	45784640	45784715	chr19:50979739-50979813:-
HIF3A,HIF-3A4	+	0.28	adipose	0.72	colon	1.00	hypoxia-inducible factor-3 alpha isoform c,hypoxia-i	chr19	46305244	46305390	chr19:51500342-51500487:+
PTPRS	-	0.45	cerebellum	0.05	adipose	0.50	protein tyrosine phosphatase, receptor type,,protein	chr19	5216719	5216767	chr19:5167731-5167778:-
PTPRS	-	0.48	cerebellum	1	MB435	0.52	protein tyrosine phosphatase, receptor type,,protein	chr19	5218786	5218798	chr19:5169798-5169809:-
FKRP	+	0.47	breast	1	MB435	0.53	fukutin-related protein,fukutin-related protein,fukutin-	chr19	46748514	46748665	chr19:51943612-51943762:+
FKRP	+	0.51	breast	1	MB435	0.50	fukutin-related protein,fukutin-related protein,fukutin-	chr19	46748514	46748717	chr19:51943612-51943814:+
KIAA1064	-	0.34	cerebellum	1	MCF7	0.66	Homo sapiens mRNA for KIAA1064 protein, partial c	chr19	47069091	47069343	chr19:52264189-52264440:-
AOS1,SAE1	+	0.46	BT474	0.54	brain	1.00	SUMO-1 activating enzyme subunit 1,Homo sapiens	chr19	47197232	47197377	chr19:52392330-52392474:+
KIAA0134	+	0.74	HME	0.84	testes	0.10	Homo sapiens cDNA FLJ41051 fis, clone SMINT100	chr19	47376914	47376989	chr19:52571970-52572044:+
GLTSCR1,BC03206	+	0.29	adipose	1	skelMuscle	0.71	glioma tumor suppressor candidate region gene 1,H	chr19	47681975	47682152	chr19:52877045-52877221:+
LIG1	-	0.6	cerebellum	0.4	HME	1.00	DNA ligase I,Homo sapiens mRNA for DNA ligase I	chr19	48162261	48162351	chr19:53357331-53357420:-
KIAA0955,CARD8	-	0.35	MB435	1	testes	0.65	caspase recruitment domain family, member 8,caspa	chr19	48218870	48219012	chr19:53413940-53414081:-
KIAA0955,CARD8	-	0.47	breast	1	lymphNode	0.53	caspase recruitment domain family, member 8,caspa	chr19	48238382	48238532	chr19:53433452-53433601:-
KIAA0955,CARD8	-	0.3	adipose	0.79	lymphNode	0.48	caspase recruitment domain family, member 8,casp	chr19	48249522	48249633	chr19:53444592-53444702:-
EMP3	+	0.27	MB435	0.56	lymphNode	0.29	epithelial membrane protein 3	chr19	48327520	48327561	chr19:53522590-53522630:+
EMP3	+	0.4	adipose	1	lymphNode	0.60	epithelial membrane protein 3	chr19	48327520	48327623	chr19:53522590-53522692:+
EMP3	+	0.55	adipose	1	lymphNode	0.45	epithelial membrane protein 3	chr19	48327520	48327664	chr19:53522590-53522733:+
SPHK-2	+	0.35	breast	1	adipose	0.65	sphingosine kinase 2,sphingosine kinase 2,sphingos	chr19	48625890	48626362	chr19:53820960-53821431:+
BCAT2	-	0.47	breast	1	HME	0.53	branched chain aminotransferase 2,,BCAT2 protein	chr19	48806516	48806717	chr19:54001586-54001786:-
BCAT2	-	0.5	cerebellum	0.55	BT474	0.05	branched chain aminotransferase 2,,BCAT2 protein	chr19	48807755	48808236	chr19:54002825-54003305:-
BAX	+	0.53	BT474	1	lymphNode	0.47	BCL2-associated X protein isoform sigma,BCL2-ass	chr19	48955547	48955599	chr19:54150617-54150668:+
SNRP70	+	0.62	cerebellum	0.63	MB435	0.02	NA	chr19	49102113	49102173	chr19:54297183-54297242:+
SNRP70	+	0.63	cerebellum	0.64	MB435	0.01	U1 small nuclear ribonucleoprotein 70 kDa,U1 small	chr19	49102113	49102185	chr19:54297183-54297254:+
SNRP70	+	0.74	cerebellum	0.77	MB435	0.03	U1 small nuclear ribonucleoprotein 70 kDa,U1 small	chr19	49102113	49103587	chr19:54297183-54298656:+
TRPM4,TRPM4B	+	0.47	MCF7	1	MB435	0.53	transient receptor potential cation channel,,Transient	chr19	49211014	49211087	chr19:54406084-54406156:+
TEAD2	-	0.45	breast	0.54	MB435	0.09	TEA domain family member 2,TEA domain family m	chr19	49355958	49355970	chr19:54551028-54551039:-
FLT3LG	+	0.25	breast	0.83	lymphNode	0.59	fms-related tyrosine kinase 3 ligand,FLT3LG protein.	chr19	49478908	49479047	chr19:54673978-54674116:+
BCL2L12	+	0.27	MCF7	1	testes	0.73	BCL2-like 12 isoform 1,BCL2-like 12 isoform 3,	chr19	49667018	49667161	chr19:54862088-54862230:+
BCL2L12	+	0.38	MB435	0.62	T47D	1.00	BCL2-like 12 isoform 1,BCL2-like 12 isoform 3,	chr19	49667021	49667161	chr19:54862091-54862230:+
BCL2L12	+	0.46	HME	1	skelMuscle	0.54	BCL2-like 12 isoform 1,BCL2-like 12 isoform 3,	chr19	49670215	49670488	chr19:54865285-54865557:+
n/a	-	0.3	brain	0	lymphNode	0.30	n/a	chr19	49859088	49859176	chr19:55054158-55054245:-
PTOV1,ACID2,UNQ	+	0.3	brain	0	lymphNode	0.30	prostate tumor overexpressed gene 1,prostate tumo	chr19	49859088	49859176	chr19:55054158-55054245:+
VRK3	-	0.34	MCF7	0.67	adipose	1.00	vaccinia related kinase 3 isoform 1,vaccinia related	chr19	49997503	49997570	chr19:55192573-55192639:-
JOSD2	-	0.34	breast	1	T47D	0.66	apolipoprotein C-I precursor,apolipoprotein C-I precu Josephin domain containing 2,Josephin domain cont	chr19	50507573	50507699	chr19:55702643-55702768:-
LOC554235	-	0.32	cerebellum	0.6	brain	0.93	hypothetical protein LOC554235	chr19	50512926	50513011	chr19:55707996-55708080:-
RANBP3	-	0.41	adipose	0.43	testes	0.84	RAN binding protein 3 isoform RANBP3-b,RAN bindi	chr19	5951392	5951596	chr19:5902404-5902607:-
RANBP3	-	0.51	cerebellum	1	BT474	0.49	RAN binding protein 3 isoform RANBP3-b,RAN bindi	chr19	5957917	5957973	chr19:5908929-5908984:-
NDUFA3	+	0.37	MB435	0	T47D	0.37	NADH dehydrogenase (ubiquinone) 1 alpha,Homo s	chr19	54106352	54106446	chr19:59301472-59301565:+
NDUFA3	+	0.35	MB435	0	T47D	0.35	NADH dehydrogenase (ubiquinone) 1 alpha,Homo s	chr19	54106355	54106446	chr19:59301475-59301565:+
hTTY1s,TTYH1	+	0.41	cerebellum	0.89	testes	0.49	tweety 1 isoform 1,tweety 1 isoform 2,Homo sapiens	chr19	54435827	54435873	chr19:59638820-59638865:+
LENG8,KIAA1932	+	0.38	breast	1	lymphNode	0.63	leukocyte receptor cluster (LRC) member 8,Homo sa	chr19	54451293	54451382	chr19:59654283-59654371:+
TNNT1	-	0.57	lymphNode	0.25	skelMuscle	0.81	NA	chr19	55146433	55146466	chr19:60349614-60349646:-
ZNF628	+	0.44	cerebellum	0.56	HME	1.00	zinc finger protein 628	chr19	55342214	55342380	chr19:60545395-60545560:+
ISOC2	-	0.3	MCF7	1	BT474	0.70	isochorismatase domain containing 2,Isochorismata	chr19	55455635	55455845	chr19:60658815-60659024:-
U2AF2	+	0.45	cerebellum	0.45	BT474	0.00	U2 (RNU2) small nuclear RNA auxiliary factor 2,U2	chr19	55661770	55661830	chr19:60864949-60865008:+
EPSIN,EPN1	+	0.46	cerebellum	0.01	T47D	0.47	epsin 1,Homo sapiens EH domain-binding mitotic ph	chr19	55677045	55677218	chr19:60880224-60880396:+
EPSIN,EPN1	+	0.73	cerebellum	0.27	HME	1.00	NA	chr19	55689296	55689371	chr19:60892475-60892549:+
LOC113386	+	0.34	cerebellum	1	testes	0.66	hypothetical protein LOC113386,Homo sapiens cDN	chr19	58312165	58312403	chr19:63515344-63515581:+
LOC113386	+	0.36	cerebellum	1	testes	0.65	hypothetical protein LOC113386,Homo sapiens cDN	chr19	58312165	58312462	chr19:63515344-63515640:+
LOC113386	+	0.41	cerebellum	1	testes	0.59	hypothetical protein LOC113386,Homo sapiens cDN	chr19	58312196	58312462	chr19:63515375-63515640:+
GPR108	-	0.3	breast	0.7	HME	1.00	G protein-coupled receptor 108 isoform 1,G protein-	chr19	6735621	6735704	chr19:6686633-6686715:-
TRIP10	+	0.86	MB435	0.06	skelMuscle	0.92	thyroid hormone receptor interactor 10,Cdc42-intera	chr19	6746028	6746196	chr19:6697040-6697207:+
PALM	+	0.6	adipose	1	brain	0.40	paralemmin isoform 2	chr19	740351	740483	chr19:691352-691483:+
PTBP1	+	0.42	T47D	1	lymphNode	0.58	polypyrimidine tract-binding protein 1 isoform,polypyr	chr19	805512	805569	chr19:756513-756569:+
CLEC4M	+	0.85	liver	1	lymphNode	0.15	C-type lectin domain family 4, member M isoform,C-	chr19	7765184	7765268	chr19:7736071-7736154:+
